,device,dataset,exp_type,lp_model,attack_method,attack_goal,attack_rate,outputs,seed,datasetsDir,best_test_result,best_val_result
43,cuda:0,PubMed,poisoning,gat,dice,integrity,0.1,outputs,9,datasets,[0.91733452 0.84353143 0.8549515  0.83586037 0.84529811],[0.92048255 0.84782606 0.86354917 0.82953238 0.84619904]
44,cuda:0,CiteSeer,poisoning,deepwalk,metattack,integrity,0.05,outputs,4,datasets,[0.74600595 0.73326015 0.50493962 0.92929292 0.6543386 ],[0.78863664 0.76373631 0.56483519 0.93795621 0.7050755 ]
45,cuda:0,Cora,poisoning,vgnae,random,integrity,0.1,outputs,8,datasets,[0.94165401 0.74668874 0.97067171 0.67036916 0.79304348],[0.94213604 0.74620493 0.96963948 0.67016393 0.79255526]
46,cuda:0,Cora,poisoning,vgnae,viking,availability,0.05,outputs,5,datasets,[0.92398248 0.75383228 0.95311093 0.68149581 0.79473685],[0.92011658 0.74729242 0.95487362 0.6747449  0.79073243]
47,cuda:0,Cora,poisoning,gat,random,availability,0.05,outputs,4,datasets,[0.84178469 0.78110909 0.74932373 0.80019259 0.77392316],[0.8551607  0.78519857 0.75451261 0.80384618 0.77839851]
48,cuda:0,PubMed,poisoning,vgnae,aalp,integrity,0.15,outputs,1,datasets,[0.92213542 0.76328107 0.9819535  0.68317181 0.80575672],[0.96689751 0.76460966 0.98488265 0.68368705 0.80710026]
49,cuda:0,PubMed,poisoning,vgnae,random,integrity,0.2,outputs,3,datasets,[0.95565491 0.77049966 0.98150235 0.69022407 0.81048734],[0.95868503 0.76940433 0.98307765 0.68874486 0.81000187]
50,cuda:0,Cora,poisoning,node2vec,dice,integrity,0.15,outputs,3,datasets,[0.76876775 0.72067171 0.4947966  0.90250218 0.63916898],[0.81385672 0.74628347 0.52697098 0.90070921 0.66492146]
51,cuda:0,Cora,poisoning,deepwalk,minmax,integrity,0.05,outputs,4,datasets,[0.82657716 0.76608324 0.58845788 0.91269261 0.71555942],[0.85514577 0.78667307 0.61627907 0.92846715 0.74082708]
52,cuda:0,Cora,poisoning,deepwalk,dice,integrity,0.05,outputs,6,datasets,[0.80895082 0.75165564 0.5591296  0.90923077 0.69244289],[0.84441162 0.78405797 0.61023623 0.92399406 0.73503262]
53,cuda:0,Cora,poisoning,gca,minmax,availability,0.1,outputs,6,datasets,[0.89622665 0.82241696 0.7896679  0.84501481 0.81640446],[0.90243132 0.82070243 0.78373384 0.8463074  0.81381965]
54,cuda:0,Cora,poisoning,gca,pgd,integrity,0.2,outputs,9,datasets,[0.89587077 0.81807429 0.78807944 0.8384499  0.81248474],[0.92423421 0.84464115 0.83469385 0.84156376 0.83811468]
55,cuda:0,CiteSeer,poisoning,gcn,random,integrity,0.2,outputs,3,datasets,[0.81484744 0.74560922 0.69154775 0.7753846  0.73107052],[0.8067842  0.73351651 0.67252749 0.76595747 0.7162084 ]
56,cuda:0,Cora,poisoning,gat,nodeembeddingattack,availability,0.1,outputs,3,datasets,[0.89550017 0.81703466 0.81703472 0.81703472 0.81703472],[0.88151136 0.81210524 0.79157895 0.82546651 0.8081677 ]
57,cuda:0,CiteSeer,poisoning,gat,clga,availability,0.05,outputs,7,datasets,[0.83916175 0.49999997 1.         0.5        0.66666669],[0.84515902 0.5        1.         0.5        0.66666669]
58,cuda:0,Cora,poisoning,gcn,pgd,integrity,0.1,outputs,2,datasets,[0.85660109 0.79938489 0.73415327 0.84439605 0.78542507],[0.89404204 0.83589989 0.79101562 0.86446106 0.82610911]
59,cuda:0,Cora,poisoning,gca,nodeembeddingattack,availability,0.15,outputs,6,datasets,[0.91447672 0.83120131 0.76195771 0.88444155 0.81864351],[0.91173071 0.83928573 0.765625   0.89790577 0.82650602]
60,cuda:0,Cora,poisoning,node2vec,metattack,availability,0.1,outputs,3,datasets,[0.80069158 0.74849397 0.55077451 0.91103202 0.68651116],[0.81731124 0.76508623 0.58103448 0.91950887 0.71209717]
61,cuda:0,PubMed,clean,gat,noattack,integrity,0.05,outputs,2,datasets,[0.93318716 0.86248022 0.88777351 0.84502655 0.86587274],[0.93536024 0.86642599 0.89778882 0.84479833 0.87048793]
62,cuda:0,CiteSeer,poisoning,deepwalk,viking,availability,0.1,outputs,9,datasets,[0.73612157 0.72380239 0.5        0.90514904 0.64416587],[0.732132   0.71300006 0.47999999 0.89887643 0.62581486]
63,cuda:0,PubMed,poisoning,deepwalk,random,integrity,0.1,outputs,5,datasets,[0.79855729 0.75270694 0.57861495 0.88769686 0.70058042],[0.80235576 0.75434339 0.58641696 0.88296247 0.7047658 ]
64,cuda:0,Cora,clean,vgnae,noattack,integrity,0.05,outputs,7,datasets,[0.95362717 0.7589877  0.98107851 0.6793318  0.80278691],[0.95507311 0.75759013 0.98102468 0.67803279 0.80186119]
65,cuda:0,CiteSeer,poisoning,gat,minmax,availability,0.05,outputs,8,datasets,[0.84655727 0.77446806 0.75106382 0.7879464  0.76906317],[0.84728202 0.77345419 0.74626863 0.789177   0.76712328]
66,cuda:0,Cora,poisoning,vgnae,pgd,integrity,0.2,outputs,7,datasets,[0.93593786 0.75940383 0.96310312 0.68436975 0.8001572 ],[0.95131666 0.74778761 0.97346938 0.66204025 0.78810409]
67,cuda:0,PubMed,poisoning,deepwalk,random,availability,0.05,outputs,8,datasets,[0.78292859 0.75085938 0.59630466 0.8630957  0.70531428],[0.78429272 0.74957025 0.5906747  0.86582679 0.70226085]
68,cuda:0,CiteSeer,poisoning,gcn,viking,availability,0.05,outputs,10,datasets,[0.84060855 0.77089864 0.72936261 0.79544157 0.76097029],[0.83401017 0.76310271 0.71698111 0.78983831 0.75164831]
69,cuda:0,Cora,poisoning,vgnae,viking,integrity,0.15,outputs,5,datasets,[0.93358007 0.73787556 0.96783352 0.66299417 0.78692309],[0.93809253 0.74620493 0.96394688 0.67151355 0.79158551]
70,cuda:0,PubMed,poisoning,node2vec,minmax,availability,0.1,outputs,1,datasets,[0.79840254 0.75520241 0.60761982 0.86207402 0.71281952],[0.7950878  0.75683367 0.61130667 0.86227542 0.71541953]
71,cuda:0,CiteSeer,poisoning,gat,nodeembeddingattack,availability,0.15,outputs,8,datasets,[0.8411487  0.77971578 0.73385012 0.80796587 0.76912659],[0.85509351 0.77260983 0.72868216 0.79886687 0.76216221]
72,cuda:0,CiteSeer,poisoning,gca,nodeembeddingattack,integrity,0.15,outputs,5,datasets,[0.89943139 0.82135016 0.78046101 0.8499701  0.81373388],[0.90021075 0.82134145 0.78630137 0.80731362 0.79666895]
73,cuda:0,Cora,poisoning,gcn,metattack,availability,0.05,outputs,4,datasets,[0.83205164 0.76961225 0.70694321 0.80824745 0.7542088 ],[0.8427762  0.77978337 0.72202164 0.81632656 0.76628351]
74,cuda:0,PubMed,poisoning,node2vec,nodeembeddingattack,availability,0.15,outputs,10,datasets,[0.76682956 0.74286759 0.59447986 0.84536278 0.69806397],[0.76508008 0.74548709 0.5983541  0.84784651 0.70157957]
75,cuda:0,Cora,poisoning,gcn,viking,integrity,0.05,outputs,9,datasets,[0.86899005 0.79962146 0.81173134 0.79260969 0.80205655],[0.886121   0.81641364 0.83111954 0.80737329 0.81907433]
76,cuda:0,CiteSeer,poisoning,node2vec,minmax,availability,0.05,outputs,8,datasets,[0.76767598 0.75611699 0.57872343 0.89694971 0.70352411],[0.76935911 0.74946696 0.56076759 0.90068495 0.69119579]
77,cuda:0,CiteSeer,poisoning,deepwalk,random,availability,0.2,outputs,6,datasets,[0.71306258 0.69441903 0.43092406 0.91102517 0.58509314],[0.71894833 0.68406594 0.41025642 0.90688258 0.56494325]
78,cuda:0,Cora,poisoning,gat,minmax,availability,0.1,outputs,10,datasets,[0.87284606 0.80465871 0.82011068 0.79552573 0.80763119],[0.88107188 0.80406654 0.81515712 0.79746836 0.80621576]
79,cuda:0,PubMed,poisoning,gat,dice,integrity,0.2,outputs,5,datasets,[0.90582956 0.83075792 0.81423414 0.84206229 0.82791442],[0.90528439 0.83283061 0.81846476 0.82155406 0.82000649]
80,cuda:0,Cora,poisoning,gcn,aalp,integrity,0.05,outputs,6,datasets,[0.84511868 0.7842952  0.72753072 0.8207044  0.77131391],[0.89964858 0.82258064 0.80265653 0.83596838 0.81897384]
81,cuda:0,CiteSeer,poisoning,deepwalk,metattack,availability,0.1,outputs,10,datasets,[0.74379404 0.72407776 0.49351946 0.91581869 0.64139944],[0.763398   0.74100006 0.51999998 0.93189967 0.66752249]
82,cuda:0,CiteSeer,poisoning,gcn,dice,integrity,0.2,outputs,4,datasets,[0.79848022 0.7324369  0.71459937 0.74103588 0.72757751],[0.81027351 0.73375869 0.72481573 0.71515149 0.71995121]
83,cuda:0,CiteSeer,poisoning,deepwalk,random,integrity,0.05,outputs,8,datasets,[0.76453903 0.75082326 0.55543357 0.91171169 0.69031376],[0.75502959 0.75164837 0.55604398 0.91335738 0.69125682]
84,cuda:0,CiteSeer,poisoning,vgnae,dice,integrity,0.2,outputs,10,datasets,[0.95647658 0.75960483 0.9791438  0.68039664 0.80288029],[0.95338985 0.74361949 0.98280096 0.6514658  0.78354554]
85,cuda:0,CiteSeer,poisoning,node2vec,random,availability,0.1,outputs,9,datasets,[0.72049306 0.70812565 0.48155534 0.88058341 0.62262326],[0.745928   0.72900003 0.52600002 0.88552189 0.65997493]
86,cuda:0,Cora,poisoning,gca,nodeembeddingattack,integrity,0.2,outputs,1,datasets,[0.88319882 0.78263956 0.67644274 0.85885888 0.75681394],[0.90446985 0.83949941 0.75255102 0.85383505 0.80000007]
87,cuda:0,PubMed,poisoning,gca,random,integrity,0.2,outputs,10,datasets,[0.9086074  0.82621813 0.78806674 0.85316563 0.81932515],[0.90853265 0.83038133 0.79648012 0.85441124 0.82442927]
88,cuda:0,Cora,poisoning,deepwalk,clga,integrity,0.05,outputs,8,datasets,[0.82731602 0.76253545 0.57710499 0.91729325 0.70847845],[0.85036672 0.77751422 0.59582543 0.93591654 0.72811592]
89,cuda:0,Cora,poisoning,node2vec,clga,availability,0.2,outputs,2,datasets,[0.76108746 0.70932072 0.46287519 0.9127726  0.61425573],[0.76236781 0.71875    0.47626582 0.92473119 0.62872058]
90,cuda:0,PubMed,poisoning,gca,pgd,availability,0.1,outputs,4,datasets,[0.92860802 0.85534686 0.88335943 0.83649474 0.85928857],[0.92950437 0.85501873 0.88272119 0.83638161 0.85892677]
91,cuda:0,PubMed,poisoning,gca,dice,integrity,0.15,outputs,3,datasets,[0.92893724 0.85500789 0.83983761 0.86611611 0.8527745 ],[0.92833734 0.85501063 0.83815461 0.85391259 0.84596026]
92,cuda:0,PubMed,poisoning,node2vec,aalp,availability,0.1,outputs,8,datasets,[0.753199   0.70958269 0.50155091 0.85891348 0.63329679],[0.75072842 0.71008837 0.50244451 0.85930216 0.6341145 ]
93,cuda:0,PubMed,poisoning,vgnae,viking,availability,0.05,outputs,9,datasets,[0.94579615 0.76944355 0.958857   0.69541506 0.80615954],[0.94166477 0.76826386 0.95638162 0.69492584 0.80495524]
94,cuda:0,Cora,poisoning,vgnae,aalp,availability,0.2,outputs,5,datasets,[0.80008364 0.67782285 0.82285327 0.63784067 0.71863005],[0.79763846 0.66260163 0.80623305 0.62631579 0.7049763 ]
95,cuda:0,CiteSeer,poisoning,vgnae,minmax,availability,0.05,outputs,5,datasets,[0.95310944 0.76781915 0.97978723 0.68808368 0.8084266 ],[0.94536986 0.77132196 0.97228146 0.69353612 0.80958722]
96,cuda:0,PubMed,poisoning,node2vec,nodeembeddingattack,availability,0.05,outputs,3,datasets,[0.78943315 0.76392019 0.65190548 0.84011626 0.73413992],[0.78377304 0.75825417 0.64608073 0.83295053 0.72771049]
97,cuda:0,CiteSeer,poisoning,vgnae,nodeembeddingattack,availability,0.05,outputs,8,datasets,[0.96639003 0.77222864 0.98036951 0.69221362 0.81146953],[0.96913312 0.7806713  0.98842591 0.69828291 0.81839961]
98,cuda:0,PubMed,poisoning,gat,nodeembeddingattack,availability,0.2,outputs,3,datasets,[0.92908348 0.85663426 0.85279191 0.8593961  0.85608125],[0.9279476  0.85617602 0.85166383 0.85941947 0.85552406]
99,cuda:0,Cora,poisoning,gca,pgd,availability,0.15,outputs,10,datasets,[0.9131228  0.83753258 0.81841874 0.85094851 0.83436668],[0.91134104 0.83580142 0.82229966 0.84512085 0.83355409]
100,cuda:0,Cora,poisoning,gat,metattack,integrity,0.1,outputs,1,datasets,[0.83046967 0.77572745 0.67833489 0.84253818 0.75157237],[0.88495687 0.81585193 0.74383301 0.86917961 0.80163604]
101,cuda:0,Cora,poisoning,node2vec,pgd,availability,0.15,outputs,2,datasets,[0.85993217 0.81081671 0.70634234 0.89291596 0.78874606],[0.84524214 0.79790944 0.68989545 0.88       0.77343744]
102,cuda:0,CiteSeer,poisoning,node2vec,metattack,availability,0.05,outputs,6,datasets,[0.75659361 0.74164051 0.54231977 0.90182447 0.67732465],[0.75732544 0.73060793 0.52201259 0.89568347 0.6596027 ]
103,cuda:0,Cora,poisoning,deepwalk,viking,availability,0.15,outputs,10,datasets,[0.78254467 0.72880656 0.49794239 0.92507643 0.64740503],[0.79456535 0.73762381 0.51650167 0.92603552 0.66313565]
104,cuda:0,PubMed,poisoning,gat,dice,integrity,0.15,outputs,3,datasets,[0.90652383 0.83177304 0.83859688 0.82730609 0.83291322],[0.90730386 0.83380711 0.84463841 0.81281495 0.82842118]
105,cuda:0,PubMed,poisoning,node2vec,pgd,availability,0.05,outputs,8,datasets,[0.80199311 0.76719004 0.65089333 0.84817272 0.73655188],[0.80991839 0.77409577 0.66601688 0.84968221 0.74672168]
106,cuda:0,CiteSeer,poisoning,gcn,nodeembeddingattack,availability,0.05,outputs,5,datasets,[0.84416219 0.78175521 0.7586605  0.79539949 0.77659577],[0.8489235  0.78993058 0.77777779 0.797153   0.78734618]
107,cuda:0,CiteSeer,poisoning,gcn,aalp,availability,0.05,outputs,10,datasets,[0.81676605 0.73404789 0.7098704  0.74594027 0.72745854],[0.828668   0.75050002 0.75199997 0.74975073 0.75087368]
108,cuda:0,PubMed,clean,vgnae,noattack,integrity,0.05,outputs,3,datasets,[0.97202416 0.79472141 0.9893977  0.71212859 0.82817221],[0.97325077 0.79343412 0.99074912 0.71040285 0.82747575]
109,cuda:0,Cora,poisoning,node2vec,pgd,integrity,0.1,outputs,10,datasets,[0.84216776 0.7811687  0.64711446 0.88429219 0.7473368 ],[0.86556607 0.80943215 0.6953125  0.89447236 0.7824176 ]
110,cuda:0,Cora,poisoning,gcn,dice,availability,0.05,outputs,3,datasets,[0.86605108 0.79691941 0.73459715 0.83919871 0.78342181],[0.88609059 0.80941063 0.75855511 0.84444445 0.79919881]
111,cuda:0,Cora,poisoning,node2vec,metattack,integrity,0.15,outputs,7,datasets,[0.81275843 0.7475751  0.54399246 0.91779727 0.6831007 ],[0.84845941 0.76959622 0.57984793 0.9341501  0.71554255]
112,cuda:0,CiteSeer,poisoning,gca,nodeembeddingattack,availability,0.15,outputs,8,datasets,[0.92623223 0.83753234 0.74160206 0.91766584 0.82029295],[0.92548191 0.83139539 0.7235142  0.92256999 0.81100655]
113,cuda:0,PubMed,poisoning,gca,minmax,availability,0.05,outputs,9,datasets,[0.92665541 0.8528254  0.84384775 0.85927635 0.85149223],[0.9229393  0.84889996 0.83520275 0.85872698 0.84680152]
114,cuda:0,CiteSeer,poisoning,deepwalk,pgd,integrity,0.15,outputs,9,datasets,[0.77067456 0.75740945 0.58397365 0.89411765 0.70650733],[0.79440983 0.77906978 0.62723213 0.89633173 0.73801708]
115,cuda:0,Cora,poisoning,vgnae,viking,integrity,0.05,outputs,7,datasets,[0.95029822 0.7541992  0.98107851 0.67491051 0.79969153],[0.95293614 0.7585389  0.9829222  0.67845449 0.80278961]
116,cuda:0,CiteSeer,poisoning,node2vec,viking,availability,0.2,outputs,6,datasets,[0.72481248 0.68824339 0.42543459 0.89681774 0.57710212],[0.73362512 0.70871562 0.46055046 0.91438979 0.61256862]
117,cuda:0,Cora,poisoning,gat,clga,availability,0.1,outputs,2,datasets,[0.8267825  0.77067184 0.6778639  0.83236384 0.74721098],[0.81371879 0.7698276  0.67413795 0.83368868 0.74547195]
118,cuda:0,Cora,poisoning,gcn,viking,integrity,0.05,outputs,10,datasets,[0.87969281 0.80198723 0.76537371 0.82593161 0.79450041],[0.89000428 0.81641364 0.77988613 0.84135109 0.80945343]
119,cuda:0,Cora,poisoning,vgnae,minmax,integrity,0.05,outputs,5,datasets,[0.95010557 0.76182592 0.97634816 0.68321748 0.80389484],[0.95531052 0.76701822 0.97674417 0.68571429 0.80575539]
120,cuda:0,Cora,poisoning,vgnae,aalp,availability,0.1,outputs,6,datasets,[0.85072065 0.706985   0.86819255 0.65652044 0.74766354],[0.86789755 0.72511848 0.88625592 0.6702509  0.7632653 ]
121,cuda:0,Cora,poisoning,gat,dice,integrity,0.1,outputs,5,datasets,[0.84613457 0.76868498 0.72942287 0.79158109 0.75923187],[0.86753131 0.79016554 0.75800002 0.80042237 0.77863377]
122,cuda:0,PubMed,poisoning,deepwalk,pgd,availability,0.2,outputs,8,datasets,[0.83223733 0.7816633  0.69137949 0.84372973 0.75999469],[0.83412012 0.78654885 0.70297414 0.84405798 0.76708293]
123,cuda:0,PubMed,poisoning,deepwalk,minmax,integrity,0.15,outputs,9,datasets,[0.8198857  0.76143479 0.60433114 0.88125002 0.71698117],[0.82661445 0.76996607 0.62454629 0.87913144 0.73028713]
124,cuda:0,PubMed,poisoning,vgnae,viking,availability,0.2,outputs,10,datasets,[0.92603881 0.75891255 0.93647563 0.69106158 0.79526578],[0.92277606 0.75849486 0.9329983  0.69161863 0.79437681]
125,cuda:0,CiteSeer,poisoning,gat,nodeembeddingattack,integrity,0.05,outputs,4,datasets,[0.85285708 0.78293085 0.75411636 0.80023295 0.77649057],[0.87057561 0.79657143 0.78571427 0.78947371 0.78758955]
126,cuda:0,CiteSeer,poisoning,deepwalk,viking,availability,0.15,outputs,8,datasets,[0.7342879  0.71298951 0.47277936 0.90992647 0.6222502 ],[0.70738386 0.69024855 0.42638624 0.902834   0.57922077]
127,cuda:0,Cora,poisoning,gca,minmax,integrity,0.15,outputs,2,datasets,[0.88321046 0.80132449 0.72469252 0.8558659  0.78483605],[0.91390638 0.84179109 0.78242677 0.87179488 0.82469684]
128,cuda:0,PubMed,poisoning,deepwalk,minmax,availability,0.1,outputs,2,datasets,[0.79936065 0.75507301 0.59757739 0.87236452 0.70928699],[0.79767504 0.75626421 0.60033131 0.87240446 0.71123648]
